Title,Date,Rating,Review
Would order again,2023-06-28,5,"Stopped by the mall location for lunch and the burger was excellent. The thick patty was rich, the brioche bun held everything together, and the bacon, special sauce, caramelized onions added a lot of flavor. Service was attentive and the sweet potato fries rounded out the meal nicely. Packaging kept things together better than expected."
Fresh ingredients all around,2024-05-28,4,"Good burger overall. The single patty was juicy and the pickles, crispy onions, bacon tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was fast and I'd order it again. I had to add ketchup at home to wake it up a bit."
Good but not amazing,2021-02-22,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The pepper jack, grilled mushrooms, bacon helped, but overall it felt middle-of-the-road."
Overcooked and dry,2024-09-07,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. The fries could have been crispier."
Flavor packed and messy,2021-09-06,5,"This was one of the better burgers I've had lately. The plant-based patty tasted fresh and crispy-edged, and the bacon, lettuce and tomato worked really well together on the toasted bun. Everything came out hot, and the staff was friendly from start to finish. Portion size was fair for the price."
Average burger experience,2025-06-25,3,"Pretty average experience at the food court. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was unfriendly."
Missed the mark,2022-12-22,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. Portion size was fair for the price."
Missed the mark,2026-03-11,2,"I wanted to like this more, but it was disappointing. The thick patty was rubbery, and the soft bun fell apart quickly. The lettuce and tomato, bacon couldn't save it, and service felt slow. I also appreciated that the order was accurate."
Flavor packed and messy,2023-05-13,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pickles, crispy onions most, and even the onion rings was better than expected. I'd happily come back. I also appreciated that the order was accurate."
Would order again,2025-03-02,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I also appreciated that the order was accurate."
Exactly what I wanted,2026-01-26,5,"Stopped by the drive-thru after work and the burger was excellent. The plant-based patty was crispy-edged, the toasted bun held everything together, and the lettuce and tomato, caramelized onions, bacon added a lot of flavor. Service was helpful and the onion rings rounded out the meal nicely. The fries could have been crispier."
Surprisingly great burger,2021-04-03,4,"Good burger overall. The single patty was well-seasoned and the special sauce, lettuce and tomato tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. The fries could have been crispier."
Cooked just right,2022-01-11,4,"Good burger overall. The smash patty was crispy-edged and the bacon, melted cheddar, special sauce tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was attentive and I'd order it again. I had to add ketchup at home to wake it up a bit."
Cooked just right,2025-01-19,5,"This was one of the better burgers I've had lately. The double patty tasted fresh and perfectly seared, and the pickles, grilled mushrooms worked really well together on the brioche bun. Everything came out hot, and the staff was helpful from start to finish. Packaging kept things together better than expected."
Okay in a pinch,2022-10-24,3,"Pretty average experience at the drive-thru. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was helpful."
Excellent late-night bite,2022-12-13,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
Fast service and tasty food,2026-03-09,5,"Stopped by the airport branch late at night and the burger was excellent. The smash patty was perfectly seared, the brioche bun held everything together, and the pepper jack, crispy onions, pickles added a lot of flavor. Service was quick and the onion rings rounded out the meal nicely."
Juicy and satisfying,2023-09-28,4,"Good burger overall. The plant-based patty was well-seasoned and the melted cheddar, pepper jack, crispy onions tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was fast and I'd order it again. The fries could have been crispier."
Would order again,2024-12-17,5,"Stopped by the neighborhood spot on a road trip and the burger was excellent. The double patty was rich, the toasted bun held everything together, and the lettuce and tomato added a lot of flavor. Service was efficient and the fries rounded out the meal nicely. The fries could have been crispier."
Fast service and tasty food,2025-06-13,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Surprisingly great burger,2025-05-11,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Disappointing visit,2025-09-12,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the onion rings couldn't make up for it. Portion size was fair for the price."
"Some hits, some misses",2025-02-11,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The jalapeños, pickles, special sauce helped, but overall it felt middle-of-the-road. Portion size was fair for the price."
Mixed feelings,2024-12-25,3,"The burger was okay. The plant-based patty had decent flavor, but the potato bun got soggy halfway through. The grilled mushrooms, jalapeños, bacon were fine, and the milkshake was average. Nothing terrible, just not memorable. Packaging kept things together better than expected."
Not worth the price,2025-09-18,1,"Really disappointing. The burger came out barely warm, the patty was rubbery, and the toasted bun was stale. Service was slow, and I wouldn't order this again."
Nothing special,2025-12-10,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The caramelized onions, crispy onions helped, but overall it felt middle-of-the-road."
Bland and forgettable,2022-12-13,2,"Below average meal. The burger arrived lukewarm and the texture was off. The cola was fine, but the main item lacked flavor and felt overpriced for what it was. I had to add ketchup at home to wake it up a bit."
Okay in a pinch,2022-03-17,3,"Pretty average experience at downtown. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was unfriendly. Packaging kept things together better than expected."
Best lunch stop,2026-02-12,4,"Good burger overall. The double patty was well-seasoned and the lettuce and tomato tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was attentive and I'd order it again. I had to add ketchup at home to wake it up a bit."
Mixed feelings,2025-11-29,3,"The burger was okay. The plant-based patty had decent flavor, but the sesame bun got soggy halfway through. The crispy onions, grilled mushrooms were fine, and the cola was average. Nothing terrible, just not memorable. I also appreciated that the order was accurate."
Average burger experience,2021-07-04,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The bacon helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Fine for a quick meal,2025-10-27,3,"The burger was okay. The double patty had decent flavor, but the potato bun got soggy halfway through. The pepper jack were fine, and the milkshake was average. Nothing terrible, just not memorable."
Not bad,2025-03-27,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The lettuce and tomato helped, but overall it felt middle-of-the-road. The fries could have been crispier."
Best lunch stop,2022-05-22,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the crispy onions, lettuce and tomato most, and even the lemonade was better than expected. I'd happily come back. The fries could have been crispier."
Exactly what I wanted,2025-04-11,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Packaging kept things together better than expected."
Cheesy in the best way,2025-05-27,4,"A solid meal with friends. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I also appreciated that the order was accurate."
Cold when it arrived,2023-02-11,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. Portion size was fair for the price."
Juicy and satisfying,2023-02-23,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the caramelized onions, melted cheddar, jalapeños, and the no side was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
Messy for the wrong reasons,2023-07-05,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. Portion size was fair for the price."
"Some hits, some misses",2022-03-02,3,"Pretty average experience at the mall location. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was attentive. I also appreciated that the order was accurate."
Cheesy in the best way,2022-09-30,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the pickles, lettuce and tomato most, and even the cola was better than expected. I'd happily come back. I also appreciated that the order was accurate."
Fast service and tasty food,2022-10-04,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the caramelized onions, avocado, special sauce, and the cola was decent too. Not perfect, but definitely enjoyable. Portion size was fair for the price."
Juicy and satisfying,2025-03-31,4,"Good burger overall. The thick patty was well-seasoned and the caramelized onions, pickles tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was attentive and I'd order it again. The fries could have been crispier."
Flavor packed and messy,2025-07-03,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the lettuce and tomato, and the milkshake was decent too. Not perfect, but definitely enjoyable. The fries could have been crispier."
Classic done right,2026-03-04,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the crispy onions, avocado, lettuce and tomato most, and even the cola was better than expected. I'd happily come back. Packaging kept things together better than expected."
Highly recommend,2023-11-30,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and juicy, and the crispy onions, avocado, pepper jack worked really well together on the toasted bun. Everything came out hot, and the staff was fast from start to finish. Portion size was fair for the price."
"Some hits, some misses",2021-11-04,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The caramelized onions, pepper jack, melted cheddar helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Overcooked and dry,2024-05-02,1,"Not good at all. The burger was bland, greasy, and overdone at the same time. I waited too long for food that just wasn't worth finishing. Packaging kept things together better than expected."
Reasonably good,2023-01-23,3,"Pretty average experience at the neighborhood spot. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was friendly. Portion size was fair for the price."
Reasonably good,2022-06-23,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The bacon, grilled mushrooms helped, but overall it felt middle-of-the-road. Packaging kept things together better than expected."
Reasonably good,2025-07-12,3,"The burger was okay. The thick patty had decent flavor, but the brioche bun got soggy halfway through. The jalapeños were fine, and the fries was average. Nothing terrible, just not memorable. Portion size was fair for the price."
A really good burger,2021-12-04,5,"Stopped by downtown late at night and the burger was excellent. The smash patty was crispy-edged, the sesame bun held everything together, and the melted cheddar, special sauce, avocado added a lot of flavor. Service was fast and the onion rings rounded out the meal nicely. I had to add ketchup at home to wake it up a bit."
"Big portions, fair price",2023-03-17,5,"This was one of the better burgers I've had lately. The double patty tasted fresh and tender, and the bacon, pepper jack, caramelized onions worked really well together on the toasted bun. Everything came out hot, and the staff was efficient from start to finish. The fries could have been crispier."
Okay in a pinch,2021-10-20,3,"Pretty average experience at the mall location. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was inattentive. Portion size was fair for the price."
Fresh ingredients all around,2021-02-21,4,"A solid meal during a quick break. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
"Some hits, some misses",2022-02-06,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The bacon, caramelized onions helped, but overall it felt middle-of-the-road."
Classic done right,2024-05-27,5,"Stopped by downtown during a quick break and the burger was excellent. The single patty was crispy-edged, the potato bun held everything together, and the lettuce and tomato added a lot of flavor. Service was efficient and the milkshake rounded out the meal nicely. The fries could have been crispier."
Highly recommend,2023-08-23,4,"Good burger overall. The thick patty was juicy and the avocado, pepper jack, caramelized onions tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was fast and I'd order it again. I had to add ketchup at home to wake it up a bit."
Mixed feelings,2026-01-06,3,"The burger was okay. The thick patty had decent flavor, but the brioche bun got soggy halfway through. The caramelized onions, pickles were fine, and the fries was average. Nothing terrible, just not memorable. Packaging kept things together better than expected."
Not bad,2021-07-19,3,"Pretty average experience at the drive-thru. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was inattentive. I also appreciated that the order was accurate."
Best lunch stop,2025-09-12,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the caramelized onions, crispy onions, and the lemonade was decent too. Not perfect, but definitely enjoyable. I had to add ketchup at home to wake it up a bit."
Not bad,2022-02-11,3,"The burger was okay. The double patty had decent flavor, but the sesame bun got soggy halfway through. The bacon, caramelized onions, avocado were fine, and the sweet potato fries was average. Nothing terrible, just not memorable. I had to add ketchup at home to wake it up a bit."
Surprisingly great burger,2023-08-07,4,"Good burger overall. The smash patty was tender and the grilled mushrooms, pickles tasted fresh. The brioche bun was slightly messy, but the flavor was there. Service was quick and I'd order it again. The fries could have been crispier."
Delicious and consistent,2023-02-07,5,"This was one of the better burgers I've had lately. The double patty tasted fresh and well-seasoned, and the avocado, jalapeños, crispy onions worked really well together on the brioche bun. Everything came out hot, and the staff was efficient from start to finish. Portion size was fair for the price."
Mixed feelings,2022-07-26,3,"Pretty average experience at the mall location. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was disorganized. Packaging kept things together better than expected."
"Some hits, some misses",2024-11-29,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The bacon, pepper jack helped, but overall it felt middle-of-the-road. Portion size was fair for the price."
Cooked just right,2021-03-17,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the special sauce, bacon, lettuce and tomato most, and even the onion rings was better than expected. I'd happily come back. The fries could have been crispier."
Classic done right,2025-06-15,4,"A solid meal with friends. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Poor service this time,2022-01-17,2,"I wanted to like this more, but it was disappointing. The double patty was rubbery, and the soft bun fell apart quickly. The special sauce, grilled mushrooms, pickles couldn't save it, and service felt inattentive. The fries could have been crispier."
Disappointing visit,2023-01-05,1,"Not good at all. The burger was bland, greasy, and overdone at the same time. I waited too long for food that just wasn't worth finishing. Portion size was fair for the price."
Disappointing visit,2025-03-21,2,"There were a few decent bites, but overall this missed the mark. The burger seemed rushed, the toppings weren't balanced, and the whole thing felt underwhelming. Packaging kept things together better than expected."
Cheesy in the best way,2024-05-15,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the pepper jack, and the fries was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
"Big portions, fair price",2024-03-28,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the grilled mushrooms, pepper jack most, and even the onion rings was better than expected. I'd happily come back. Packaging kept things together better than expected."
Pretty decent overall,2025-06-03,3,"The burger was okay. The double patty had decent flavor, but the brioche bun got soggy halfway through. The crispy onions, melted cheddar were fine, and the milkshake was average. Nothing terrible, just not memorable. Portion size was fair for the price."
Cold when it arrived,2022-09-10,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the milkshake couldn't make up for it."
Mixed feelings,2023-09-05,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The jalapeños, melted cheddar helped, but overall it felt middle-of-the-road. Portion size was fair for the price."
Would order again,2025-04-12,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and perfectly seared, and the lettuce and tomato, special sauce worked really well together on the potato bun. Everything came out hot, and the staff was quick from start to finish. I also appreciated that the order was accurate."
Cooked just right,2024-10-03,4,"A solid meal after work. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive."
Highly recommend,2024-06-04,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and well-seasoned, and the pickles worked really well together on the brioche bun. Everything came out hot, and the staff was quick from start to finish. I also appreciated that the order was accurate."
"Crispy fries, solid burger",2024-09-01,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the melted cheddar, pickles, lettuce and tomato most, and even the milkshake was better than expected. I'd happily come back. I had to add ketchup at home to wake it up a bit."
Would not return,2025-09-05,1,"Not good at all. The burger was bland, greasy, and overdone at the same time. I waited too long for food that just wasn't worth finishing. I also appreciated that the order was accurate."
Delicious and consistent,2024-11-06,4,"A solid meal on a road trip. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Highly recommend,2021-08-26,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the pepper jack, bacon, and the lemonade was decent too. Not perfect, but definitely enjoyable. I had to add ketchup at home to wake it up a bit."
"Big portions, fair price",2025-04-05,4,"A solid meal for lunch. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. I also appreciated that the order was accurate."
Pretty decent overall,2023-06-10,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The melted cheddar, bacon helped, but overall it felt middle-of-the-road. Packaging kept things together better than expected."
Exactly what I wanted,2022-06-01,4,"Good burger overall. The smash patty was crispy-edged and the crispy onions, lettuce and tomato tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was attentive and I'd order it again. I also appreciated that the order was accurate."
Cold when it arrived,2022-10-27,2,"I wanted to like this more, but it was disappointing. The smash patty was greasy, and the soft bun fell apart quickly. The pickles, pepper jack, special sauce couldn't save it, and service felt disorganized. I had to add ketchup at home to wake it up a bit."
Mixed feelings,2021-07-13,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The melted cheddar, grilled mushrooms helped, but overall it felt middle-of-the-road. I had to add ketchup at home to wake it up a bit."
Best lunch stop,2023-07-28,4,"Good burger overall. The smash patty was perfectly seared and the avocado, caramelized onions, special sauce tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. Packaging kept things together better than expected."
Excellent late-night bite,2024-07-28,5,"This was one of the better burgers I've had lately. The thick patty tasted fresh and tender, and the avocado, caramelized onions worked really well together on the sesame bun. Everything came out hot, and the staff was helpful from start to finish. Packaging kept things together better than expected."
Flavor packed and messy,2024-06-14,5,"This was one of the better burgers I've had lately. The double patty tasted fresh and rich, and the jalapeños, special sauce worked really well together on the sesame bun. Everything came out hot, and the staff was friendly from start to finish. I had to add ketchup at home to wake it up a bit."
Pretty decent overall,2024-10-07,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The special sauce helped, but overall it felt middle-of-the-road. Portion size was fair for the price."
Classic done right,2022-07-17,4,"Good burger overall. The smash patty was rich and the pickles tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was fast and I'd order it again."
Cold when it arrived,2024-06-06,2,"Below average meal. The burger arrived lukewarm and the texture was off. The cola was fine, but the main item lacked flavor and felt overpriced for what it was. I also appreciated that the order was accurate."
Juicy and satisfying,2024-02-17,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the crispy onions, melted cheddar most, and even the no side was better than expected. I'd happily come back. Portion size was fair for the price."
"Big portions, fair price",2024-10-10,5,"This was one of the better burgers I've had lately. The plant-based patty tasted fresh and rich, and the melted cheddar, pepper jack, bacon worked really well together on the sesame bun. Everything came out hot, and the staff was helpful from start to finish. Packaging kept things together better than expected."
Average burger experience,2022-08-21,3,"The burger was okay. The smash patty had decent flavor, but the toasted bun got soggy halfway through. The grilled mushrooms, crispy onions, bacon were fine, and the onion rings was average. Nothing terrible, just not memorable. Packaging kept things together better than expected."
A really good burger,2024-02-14,4,"Good burger overall. The thick patty was tender and the caramelized onions, avocado, special sauce tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was friendly and I'd order it again. I had to add ketchup at home to wake it up a bit."
"Crispy fries, solid burger",2022-08-16,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the jalapeños, special sauce, and the milkshake was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
Would not return,2024-07-14,2,"Below average meal. The burger arrived lukewarm and the texture was off. The cola was fine, but the main item lacked flavor and felt overpriced for what it was. I also appreciated that the order was accurate."
"Crispy fries, solid burger",2021-11-18,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the melted cheddar, crispy onions most, and even the no side was better than expected. I'd happily come back. I also appreciated that the order was accurate."
Exactly what I wanted,2023-05-07,4,"Good burger overall. The plant-based patty was perfectly seared and the grilled mushrooms tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again. I had to add ketchup at home to wake it up a bit."
Exactly what I wanted,2024-03-14,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the avocado, melted cheddar, caramelized onions most, and even the onion rings was better than expected. I'd happily come back. I also appreciated that the order was accurate."
Flavor packed and messy,2024-02-05,4,"Good burger overall. The double patty was well-seasoned and the crispy onions tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. Packaging kept things together better than expected."
Cold when it arrived,2021-09-29,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the milkshake couldn't make up for it. I had to add ketchup at home to wake it up a bit."
Good but not amazing,2024-08-06,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The caramelized onions, pickles, grilled mushrooms helped, but overall it felt middle-of-the-road. I also appreciated that the order was accurate."
Bland and forgettable,2025-11-01,1,"Really disappointing. The burger came out barely warm, the patty was bland, and the potato bun was stale. Service was inattentive, and I wouldn't order this again. Packaging kept things together better than expected."
"Big portions, fair price",2025-07-21,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the avocado, melted cheddar, special sauce most, and even the lemonade was better than expected. I'd happily come back."
"Crispy fries, solid burger",2025-01-18,5,"Stopped by the drive-thru on a road trip and the burger was excellent. The thick patty was juicy, the potato bun held everything together, and the jalapeños, lettuce and tomato added a lot of flavor. Service was fast and the onion rings rounded out the meal nicely. I also appreciated that the order was accurate."
A really good burger,2026-01-16,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the bacon, melted cheddar most, and even the lemonade was better than expected. I'd happily come back."
Mixed feelings,2025-04-09,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The grilled mushrooms, bacon helped, but overall it felt middle-of-the-road. Portion size was fair for the price."
Cold when it arrived,2024-03-08,1,"Really disappointing. The burger came out barely warm, the patty was rubbery, and the toasted bun was stale. Service was inattentive, and I wouldn't order this again."
Great flavor balance,2025-10-09,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the bacon, pepper jack most, and even the fries was better than expected. I'd happily come back. Portion size was fair for the price."
Perfect smash burger,2022-12-06,5,"This was one of the better burgers I've had lately. The plant-based patty tasted fresh and tender, and the melted cheddar, crispy onions worked really well together on the potato bun. Everything came out hot, and the staff was attentive from start to finish."
Would not return,2024-10-01,2,"I wanted to like this more, but it was disappointing. The thick patty was cold, and the potato bun fell apart quickly. The lettuce and tomato couldn't save it, and service felt inattentive. The fries could have been crispier."
Fresh ingredients all around,2022-02-08,4,"Good burger overall. The smash patty was crispy-edged and the pepper jack, jalapeños, grilled mushrooms tasted fresh. The soft bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. I also appreciated that the order was accurate."
Would not return,2024-07-06,1,"Really disappointing. The burger came out barely warm, the patty was cold, and the sesame bun was stale. Service was confusing, and I wouldn't order this again. Portion size was fair for the price."
"Crispy fries, solid burger",2022-06-09,5,"Stopped by the airport branch during a quick break and the burger was excellent. The thick patty was perfectly seared, the brioche bun held everything together, and the melted cheddar, crispy onions, pickles added a lot of flavor. Service was fast and the lemonade rounded out the meal nicely. The fries could have been crispier."
Surprisingly great burger,2022-01-25,5,"Stopped by the food court with friends and the burger was excellent. The smash patty was perfectly seared, the potato bun held everything together, and the jalapeños added a lot of flavor. Service was helpful and the onion rings rounded out the meal nicely. I had to add ketchup at home to wake it up a bit."
